Speaker	Utterance	Emotion	Sentiment

Chandler	also I was the point person on my company’s transition from the KL-5 to GR-6 system.	neutral	neutral
The Interviewer	You must’ve had your hands full.	neutral	neutral
Chandler	That I did. That I did.	neutral	neutral
The Interviewer	So let’s talk a little bit about your duties.	neutral	neutral
Chandler	My duties?  All right.	surprise	positive
The Interviewer	Now you’ll be heading a whole division, so you’ll have a lot of duties.	neutral	neutral
Chandler	I see.	neutral	neutral
The Interviewer	But there’ll be perhaps 30 people under you so you can dump a certain amount on them.	neutral	neutral
Chandler	Good to know.	neutral	neutral
The Interviewer	We can go into detail	neutral	neutral
Chandler	No don’t I beg of you!	fear	negative
The Interviewer	All right then, we’ll have a definite answer for you on Monday, but I think I can say with some confidence, you’ll fit in well here.	neutral	neutral
Chandler	Really?!	surprise	positive
The Interviewer	Absolutely.  You can relax	neutral	neutral

Joey	But then who? The waitress I went out with last month?	surprise	negative
Rachel	You know? Forget it!	sadness	negative
Joey	No-no-no-no, no! Who, who were you talking about?	surprise	negative
Rachel	No, I-I-I-I don't, I actually don't know	fear	negative
Joey	Ok!	neutral	neutral
Joey	All right, well...	neutral	neutral
Rachel	Yeah, sure!	neutral	neutral

Chandler	Hey, Mon.	neutral	neutral
Monica	Hey-hey-hey. You wanna hear something that sucks.	neutral	neutral
Chandler	Do I ever.	joy	positive
Monica	Chris says they’re closing down the bar.	sadness	negative
Chandler	No way!	surprise	negative
Monica	Yeah, apparently they’re turning it into some kinda coffee place.	neutral	neutral
Chandler	Just coffee! Where are we gonna hang out now?	disgust	negative
Monica	Got me.	sadness	negative
Chandler	Can I get a beer.	neutral	neutral
Monica	Hey, did you pick a roommate?	neutral	neutral
Chandler	You betcha!	joy	positive
Monica	Is it the Italian guy?	neutral	neutral
Chandler	Um-mm, yeah right!	joy	positive

Phoebe	Oh my God, oh my God! Poor Monica!	surprise	negative
Chandler	What, what, what?!	surprise	negative
Phoebe	What?!	surprise	negative
Phoebe	He was with her when he wrote this poem.	neutral	neutral
Phoebe	Look,  'My vessel so empty with nothing inside.	neutral	neutral
Phoebe	Now that I've touched you, you seem emptier still.'	neutral	neutral
Phoebe	He thinks Monica is empty, she is the empty vase!	surprise	negative
